date,league,home,away,home_score,away_score,odds_home,odds_draw,odds_away,odds_over25,odds_btts,odds_timing,source
2023-08-26,Ligue 1,Marseille,Brest,2,0,1.5,4.39,6.49,1.7,,closing,football-data:2324:F1
2023-08-26,Ligue 1,Paris SG,Lens,3,1,1.61,4.24,5.18,1.6,,closing,football-data:2324:F1
2023-08-26,Premier League,Arsenal,Fulham,2,2,1.27,5.98,10.95,1.51,,closing,football-data:2324:E0
2023-08-26,Premier League,Bournemouth,Tottenham,0,2,3.47,3.86,2.03,1.55,,closing,football-data:2324:E0
2023-08-26,Premier League,Brentford,Crystal Palace,1,1,2.15,3.33,3.67,2.25,,closing,football-data:2324:E0
2023-08-26,Premier League,Brighton,West Ham,1,3,1.51,4.78,5.91,1.48,,closing,football-data:2324:E0
2023-08-26,Premier League,Everton,Wolves,0,1,2.43,3.36,3.02,1.97,,closing,football-data:2324:E0
2023-08-26,Premier League,Man United,Nott'm Forest,3,2,1.36,5.26,8.13,1.55,,closing,football-data:2324:E0
2023-08-26,Serie A,Frosinone,Atalanta,2,1,5.19,4.12,1.65,1.73,,closing,football-data:2324:I1
2023-08-26,Serie A,Milan,Torino,4,1,1.74,3.63,5.1,2.18,,closing,football-data:2324:I1
2023-08-26,Serie A,Monza,Empoli,2,0,1.93,3.66,3.96,1.84,,closing,football-data:2324:I1
2023-08-26,Serie A,Verona,Roma,2,1,4.67,3.37,1.88,2.4,,closing,football-data:2324:I1
2023-08-27,Bundesliga,Bayern Munich,Augsburg,3,1,1.1,12.01,22.35,1.16,,closing,football-data:2324:D1
2023-08-27,Bundesliga,Mainz,Ein Frankfurt,1,1,2.59,3.4,2.77,1.94,,closing,football-data:2324:D1
2023-08-27,La Liga,Ath Bilbao,Betis,4,2,1.96,3.43,4.14,2.18,,closing,football-data:2324:SP1
2023-08-27,La Liga,Valencia,Osasuna,1,2,1.78,3.41,5.35,2.58,,closing,football-data:2324:SP1
2023-08-27,La Liga,Villarreal,Barcelona,3,4,3.44,3.68,2.1,1.64,,closing,football-data:2324:SP1
2023-08-27,Ligue 1,Clermont,Metz,0,1,1.94,3.61,3.94,1.94,,closing,football-data:2324:F1
2023-08-27,Ligue 1,Lorient,Lille,4,1,3.95,3.6,1.94,1.92,,closing,football-data:2324:F1
2023-08-27,Ligue 1,Montpellier,Reims,1,3,2.26,3.54,3.12,1.71,,closing,football-data:2324:F1
2023-08-27,Ligue 1,Nice,Lyon,0,0,1.99,3.68,3.62,1.68,,closing,football-data:2324:F1
2023-08-27,Ligue 1,Rennes,Le Havre,2,2,1.51,4.35,6.42,1.83,,closing,football-data:2324:F1
2023-08-27,Ligue 1,Strasbourg,Toulouse,2,0,2.13,3.41,3.44,1.99,,closing,football-data:2324:F1
2023-08-27,Premier League,Burnley,Aston Villa,1,3,3.21,3.54,2.24,1.8,,closing,football-data:2324:E0
2023-08-27,Premier League,Newcastle,Liverpool,1,2,2.22,3.84,3.02,1.51,,closing,football-data:2324:E0
2023-08-27,Premier League,Sheffield United,Man City,1,2,14.68,6.99,1.2,1.61,,closing,football-data:2324:E0
2023-08-27,Serie A,Fiorentina,Lecce,2,2,1.69,3.87,5.21,1.99,,closing,football-data:2324:I1
2023-08-27,Serie A,Juventus,Bologna,1,1,1.7,3.82,5.17,1.98,,closing,football-data:2324:I1
2023-08-27,Serie A,Lazio,Genoa,0,1,1.8,3.75,4.56,1.91,,closing,football-data:2324:I1
2023-08-27,Serie A,Napoli,Sassuolo,2,0,1.33,5.7,8.88,1.45,,closing,football-data:2324:I1
2023-08-28,La Liga,Getafe,Alaves,1,0,2.45,2.71,3.78,3.78,,closing,football-data:2324:SP1
2023-08-28,La Liga,Vallecano,Ath Madrid,0,7,3.94,3.33,2.05,2.25,,closing,football-data:2324:SP1
2023-08-28,Serie A,Cagliari,Inter,0,2,7.55,4.76,1.42,1.7,,closing,football-data:2324:I1
2023-08-28,Serie A,Salernitana,Udinese,1,1,2.8,3.27,2.64,2.12,,closing,football-data:2324:I1
2023-09-01,Bundesliga,Dortmund,Heidenheim,2,2,1.25,6.76,9.89,1.29,,closing,football-data:2324:D1
2023-09-01,La Liga,Almeria,Celta,2,3,2.87,3.34,2.53,1.99,,closing,football-data:2324:SP1
2023-09-01,La Liga,Cadiz,Villarreal,3,1,3.27,3.53,2.21,1.82,,closing,football-data:2324:SP1
2023-09-01,Ligue 1,Nantes,Marseille,1,1,5.5,4.21,1.59,1.68,,closing,football-data:2324:F1
2023-09-01,Premier League,Luton,West Ham,1,2,4.67,4.02,1.73,1.73,,closing,football-data:2324:E0
2023-09-01,Serie A,Roma,Milan,1,2,2.89,3.06,2.69,2.44,,closing,football-data:2324:I1
2023-09-01,Serie A,Sassuolo,Verona,3,1,1.97,3.61,3.84,1.8,,closing,football-data:2324:I1
2023-09-02,Bundesliga,Augsburg,Bochum,2,2,2.22,3.63,3.17,1.74,,closing,football-data:2324:D1
2023-09-02,Bundesliga,Hoffenheim,Wolfsburg,3,1,2.55,3.81,2.58,1.48,,closing,football-data:2324:D1
2023-09-02,Bundesliga,Leverkusen,Darmstadt,5,1,1.22,6.78,12.53,1.46,,closing,football-data:2324:D1
2023-09-02,Bundesliga,M'gladbach,Bayern Munich,1,2,10.03,6.87,1.25,1.23,,closing,football-data:2324:D1
2023-09-02,Bundesliga,Stuttgart,Freiburg,5,0,2.26,3.66,3.06,1.74,,closing,football-data:2324:D1
2023-09-02,Bundesliga,Werder Bremen,Mainz,4,0,2.67,3.48,2.59,1.8,,closing,football-data:2324:D1
2023-09-02,La Liga,Alaves,Valencia,1,0,3.2,2.93,2.58,2.77,,closing,football-data:2324:SP1
2023-09-02,La Liga,Betis,Vallecano,1,0,2.06,3.35,3.89,2.24,,closing,football-data:2324:SP1
2023-09-02,La Liga,Real Madrid,Getafe,2,1,1.36,4.89,9.9,1.98,,closing,football-data:2324:SP1
2023-09-02,La Liga,Sociedad,Granada,5,3,1.44,4.52,7.79,1.9,,closing,football-data:2324:SP1
2023-09-02,Ligue 1,Brest,Rennes,0,0,3.54,3.53,2.08,1.84,,closing,football-data:2324:F1
2023-09-02,Ligue 1,Monaco,Lens,3,0,1.99,3.82,3.53,1.6,,closing,football-data:2324:F1
2023-09-02,Premier League,Brentford,Bournemouth,2,2,1.73,3.98,4.75,1.8,,closing,football-data:2324:E0
2023-09-02,Premier League,Brighton,Newcastle,3,1,2.55,3.81,2.58,1.48,,closing,football-data:2324:E0
2023-09-02,Premier League,Burnley,Tottenham,2,5,3.64,3.79,1.99,1.68,,closing,football-data:2324:E0
2023-09-02,Premier League,Chelsea,Nott'm Forest,0,1,1.4,4.84,8.03,1.73,,closing,football-data:2324:E0
2023-09-02,Premier League,Man City,Fulham,5,1,1.18,7.68,15.7,1.42,,closing,football-data:2324:E0
2023-09-02,Premier League,Sheffield United,Everton,2,2,3.12,3.36,2.35,2.03,,closing,football-data:2324:E0
2023-09-02,Serie A,Atalanta,Monza,3,0,1.69,4.07,4.75,1.65,,closing,football-data:2324:I1
2023-09-02,Serie A,Bologna,Cagliari,2,1,1.79,3.72,4.61,1.87,,closing,football-data:2324:I1
2023-09-02,Serie A,Napoli,Lazio,1,2,1.64,4.15,5.24,1.73,,closing,football-data:2324:I1
2023-09-02,Serie A,Udinese,Frosinone,0,0,1.9,3.55,4.2,2.02,,closing,football-data:2324:I1
2023-09-03,Bundesliga,Ein Frankfurt,FC Koln,1,1,2.17,3.38,3.46,2.01,,closing,football-data:2324:D1
2023-09-03,Bundesliga,Union Berlin,RB Leipzig,0,3,3.49,3.6,2.09,1.8,,closing,football-data:2324:D1
2023-09-03,La Liga,Girona,Las Palmas,1,0,1.71,3.86,5.08,1.92,,closing,football-data:2324:SP1
2023-09-03,La Liga,Mallorca,Ath Bilbao,0,0,3.13,2.98,2.58,2.72,,closing,football-data:2324:SP1
2023-09-03,La Liga,Osasuna,Barcelona,1,2,6.53,4.52,1.5,1.69,,closing,football-data:2324:SP1
2023-09-03,Ligue 1,Le Havre,Lorient,3,0,2.58,3.14,2.95,2.28,,closing,football-data:2324:F1
2023-09-03,Ligue 1,Lille,Montpellier,1,0,1.93,3.79,3.81,1.68,,closing,football-data:2324:F1
2023-09-03,Ligue 1,Lyon,Paris SG,1,4,5.02,4.33,1.62,1.55,,closing,football-data:2324:F1
2023-09-03,Ligue 1,Metz,Reims,2,2,4.5,3.82,1.78,1.79,,closing,football-data:2324:F1
2023-09-03,Ligue 1,Nice,Strasbourg,2,0,1.86,3.46,4.52,2.13,,closing,football-data:2324:F1
